State,Lat,Long,Organism Type,Species Name,Federal Status,Unit Name
WI,44.5,-89.5,Bird,Kirtland's Warbler,Endangered,St. Croix WMD
TX,31.0,-100.0,Bird,Attwater's Greater Prairie-chicken,Endangered,Attwater Prairie Chicken NWR
TX,31.0,-100.0,Bird,Attwater's Greater Prairie-chicken,Endangered,Aransas NWR
TX,31.0,-100.0,Bird,Black-capped Vireo,Endangered,Santa Ana NWR
TX,31.0,-100.0,Bird,Black-capped Vireo,Endangered,Balcones Canyonlands NWR
TX,31.0,-100.0,Bird,Brown Pelican,Endangered,Santa Ana NWR
TX,31.0,-100.0,Bird,Brown Pelican,Endangered,Aransas NWR
TX,31.0,-100.0,Bird,Brown Pelican,Endangered,San Bernard NWR
TX,31.0,-100.0,Bird,Brown Pelican,Endangered,Laguna Atascosa NWR
TX,31.0,-100.0,Bird,Brown Pelican,Endangered,Lower Rio Grande Valley NWR
TX,31.0,-100.0,Bird,Brown Pelican,Endangered,Big Boggy NWR
TX,31.0,-100.0,Bird,Cactus Ferruginous Pygmy-owl,Endangered,Lower Rio Grande Valley NWR
TX,31.0,-100.0,Bird,Cactus Ferruginous pygmy-owl,Endangered,Laguna Atascosa NWR
TX,31.0,-100.0,Bird,Eskimo Curlew,Endangered,Lower Rio Grande Valley NWR
TX,31.0,-100.0,Bird,Golden-cheeked Warbler,Endangered,Balcones Canyonlands NWR
TX,31.0,-100.0,Bird,Golden-cheeked Warbler,Endangered,Lower Rio Grande Valley NWR
TX,31.0,-100.0,Bird,Golden-cheeked Warbler,Endangered,Santa Ana NWR
TX,31.0,-100.0,Bird,Least Tern (Interior),Endangered,Buffalo Lake NWR (TX)
TX,31.0,-100.0,Bird,Least Tern (Interior),Endangered,Hagerman NWR
TX,31.0,-100.0,Bird,Northern Aplomado Falcon,Endangered,Laguna Atascosa NWR
TX,31.0,-100.0,Bird,Northern Aplomado Falcon,Threatened,Lower Rio Grande Valley NWR
TX,31.0,-100.0,Bird,Northern Aplomado Falcon,Endangered,Santa Ana NWR
TX,31.0,-100.0,Bird,Piping Plover,Threatened,Brazoria NWR
TX,31.0,-100.0,Bird,Piping Plover,Threatened,Aransas NWR
TX,31.0,-100.0,Bird,Piping Plover,Threatened,Anahuac NWR
TX,31.0,-100.0,Bird,Piping Plover,Threatened,Big Boggy NWR
